ServiceDefintion,,TemplateId
CASA_D30_SAMIS_TYPE_1_tb,,1
CASA_D30_SAMIS_TYPE_2_tb,,2
CASA_D30_CPE_tb0,,10
CASA_D30_CPE_tb1,,11
CASA_D30_TOPO_tb,,9
CASA_D30_TOPO_TB_A2,,9
CASA_D30_CM_REG_STATUS_tb,,7
CASA_D30_CM_REG_STATUS_tb3,,7
CASA_D30_CM_US_STATUS_tb,,8
CASA_D30_DIAGLOG_tb,,3
CASA_D30_DIAGLOG_EVENT_tb,,5
CASA_D30_DIAGLOG_DETAIL_tb,,5
CASA_D30_US_UTIL_tb,,12
CASA_D30_DS_UTIL_tb,,13
CASA_D30_SPECTRUM_tb,,13
CASA_D30_CMTS_CM_SERVICE_FLOW_tb,,16
DOCSIS-CMTS-CM-DS-OFDM-STATUS-TYPE,,20
DOCSIS-CMTS-CM-DS-OFDM-PROFILE-STATUS-TYPE,,21
DOCSIS-CMTS-CM-DS-OFDM,,22
DOCSIS-CMTS-CM-PARTIAL,,23
DOCSIS-CMTS-CM-REG-STATUS-TYPE,,7
DOCSIS-CMTS-CM-SERVICE-FLOW-TYPE,,16
DOCSIS-CMTS-CM-US-OFDMA-PROFILE-STATUS-TYPE,,24
DOCSIS-CMTS-CM-US-OFDMA-STATUS-TYPE,,25
DOCSIS-CMTS-CM-US-OFDMA,,26
DOCSIS-DS-OFDM-PROFILE-STATS-TYPE,,27
DOCSIS-OFDM-PROFILE,,28
DOCSIS-SERVICE-FLOW,,29
DOCSIS-US-OFDMA-PROFILE-STATS-TYPE,,30
